17-49-56: asset: BTCUSDT, rsi: 77.1186, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-50-08: asset: BTCUSDT, rsi: 73.8718, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-50-20: asset: BTCUSDT, rsi: 71.3150, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-50-31: asset: BTCUSDT, rsi: 70.5122, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-50-43: asset: BTCUSDT, rsi: 69.0881, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-50-54: asset: BTCUSDT, rsi: 73.8453, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-51-06: asset: BTCUSDT, rsi: 69.0595, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-51-17: asset: BTCUSDT, rsi: 70.1523, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-51-29: asset: BTCUSDT, rsi: 71.3701, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-51-40: asset: BTCUSDT, rsi: 71.3802, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-51-52: asset: BTCUSDT, rsi: 71.6344, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-52-03: asset: BTCUSDT, rsi: 70.4108, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-52-15: asset: BTCUSDT, rsi: 71.9802, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-52-26: asset: BTCUSDT, rsi: 71.9802, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-52-38: asset: BTCUSDT, rsi: 69.4286, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-52-49: asset: BTCUSDT, rsi: 66.5161, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-53-00: asset: BTCUSDT, rsi: 67.4801, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-53-12: asset: BTCUSDT, rsi: 63.3916, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-53-24: asset: BTCUSDT, rsi: 64.4311, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-53-36: asset: BTCUSDT, rsi: 66.7625, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-53-48: asset: BTCUSDT, rsi: 67.7965, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-54-00: asset: BTCUSDT, rsi: 69.6073, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-54-11: asset: BTCUSDT, rsi: 70.1881, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-54-23: asset: BTCUSDT, rsi: 68.6622, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-54-34: asset: BTCUSDT, rsi: 70.2294, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-54-46: asset: BTCUSDT, rsi: 70.0319, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-54-58: asset: BTCUSDT, rsi: 69.8734, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-55-10: asset: BTCUSDT, rsi: 70.0056, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-55-22: asset: BTCUSDT, rsi: 70.6966, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-55-33: asset: BTCUSDT, rsi: 72.9971, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-55-45: asset: BTCUSDT, rsi: 73.0420, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-55-57: asset: BTCUSDT, rsi: 73.0420, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-56-09: asset: BTCUSDT, rsi: 73.0420, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-56-20: asset: BTCUSDT, rsi: 73.0420, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-56-32: asset: BTCUSDT, rsi: 73.0420, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-56-43: asset: BTCUSDT, rsi: 57.9877, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-56-54: asset: BTCUSDT, rsi: 69.7262, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-57-05: asset: BTCUSDT, rsi: 62.5637, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-57-17: asset: BTCUSDT, rsi: 61.7229, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-57-28: asset: BTCUSDT, rsi: 61.0595, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-57-39: asset: BTCUSDT, rsi: 61.7229, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-57-51: asset: BTCUSDT, rsi: 61.7229, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-58-02: asset: BTCUSDT, rsi: 59.7751, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-58-14: asset: BTCUSDT, rsi: 57.9894, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-58-25: asset: BTCUSDT, rsi: 55.3970, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-58-36: asset: BTCUSDT, rsi: 52.7716, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-58-48: asset: BTCUSDT, rsi: 52.7716, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-58-59: asset: BTCUSDT, rsi: 61.2110, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-59-10: asset: BTCUSDT, rsi: 52.7716, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-59-22: asset: BTCUSDT, rsi: 59.3158, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-59-33: asset: BTCUSDT, rsi: 50.4001, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-59-45: asset: BTCUSDT, rsi: 59.3158, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
17-59-57: asset: BTCUSDT, rsi: 50.3971, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-00-08: asset: BTCUSDT, rsi: 59.8991, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-00-20: asset: BTCUSDT, rsi: 49.0438, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-00-32: asset: BTCUSDT, rsi: 59.8991, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-00-44: asset: BTCUSDT, rsi: 49.0438, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-00-55: asset: BTCUSDT, rsi: 47.7721, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-01-07: asset: BTCUSDT, rsi: 47.7721, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-01-18: asset: BTCUSDT, rsi: 44.8493, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-01-29: asset: BTCUSDT, rsi: 39.5487, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-01-41: asset: BTCUSDT, rsi: 39.5487, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-01-53: asset: BTCUSDT, rsi: 39.5487, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-02-04: asset: BTCUSDT, rsi: 39.5959, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-02-15: asset: BTCUSDT, rsi: 39.5959, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-02-27: asset: BTCUSDT, rsi: 39.5959, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-02-39: asset: BTCUSDT, rsi: 39.5959, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-02-50: asset: BTCUSDT, rsi: 39.5959, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-03-02: asset: BTCUSDT, rsi: 39.8131, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-03-13: asset: BTCUSDT, rsi: 39.8131, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-03-25: asset: BTCUSDT, rsi: 39.8131, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-03-37: asset: BTCUSDT, rsi: 39.8131, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-03-48: asset: BTCUSDT, rsi: 39.8131, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-04-00: asset: BTCUSDT, rsi: 40.6002, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-04-12: asset: BTCUSDT, rsi: 40.1480, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-04-23: asset: BTCUSDT, rsi: 40.1480, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-04-35: asset: BTCUSDT, rsi: 37.7937, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-04-46: asset: BTCUSDT, rsi: 37.7284, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-04-57: asset: BTCUSDT, rsi: 37.7284, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-05-09: asset: BTCUSDT, rsi: 37.7186, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-05-20: asset: BTCUSDT, rsi: 37.7186, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
